Geografija;8;Jurgis;Kurioje JAV valstijoje yra miestas Neðvilis?;Vaðingtone;Tenesyje;Dþordþijoje;Kolorade;Tenesyje
Sportas;8;Antanas;Su kokiu sportu asocijuojamas Sachin Tendulkar?;Boksu;Golfu;Futbolu;Kriketu;Kriketu
Geografija;5;Aloyzas;Kas yra Ðveicarijos sostinë;Ciurichas;Þeneva;Bernas;Lozana;Bernas
Muzika;4;Martynas;Miuziklas „Hamilton“ þymiausiu visø laikø muzikinio teatro pasirodymø nuo debiuto 2015 metais, taèiau kuo vardu já paraðæs dramaturgas?;Lin-Manuel Miranda;Kenneth Lonergan;Lynn Nottage;Andrew Bovell;Lin-Manuel Miranda
Áþymybës;10;Antanas;Koks reperio P Diddy tikrasis vardas?;Sean Combs;Shawn Carter;Curtis Jackson;Earl Simmons;Sean Combs
Áþymybës;2;Martynas;Kuris britø aktorius vaidins „betmenà“ netrukus pasirodysianèiame filme kurá reþisuoja Matt Reeves?;Robert Pattinson;Nicholas Hoult;Tom Hiddleston;James McAvoy;Robert Pattinson
Muzika;10;Aloyzas;Kuriais metais grupë „The Beatles“ pirmà kartà atvyko á JAV?;1972;1964;1969;1962;1964
Muzika;1;Jurgis;Kaip vadinama muzikos grupë, kurioje yra ðie nariai: John Deacon, Brian May, Freddie Mercury, Roger Taylor?;Iron Maiden;Van Halen;The Rolling Stones;Queen;Queen
Geografija;1;Jurgis;Kuris miestas yra Portugalijos sostinë?;Barselona;Porto;Lisabona;Sevilija;Lisabona
Áþymybës;10;Aloyzas;Kuris dailininkas nutapë „Vandens lelijas“ 1899?;Vincent Van Gogh;Henri Matisse;Claude Monet;Edward Hopper;Claude Monet
Sportas;10;Martynas;Kurá sportiná þaidimà iðrado James Naismith 1891?;Tinkliná;Futbolà;Krepðiná;Vandensvydá;Krepðiná
Mokslas;3;Aloyzas;Suapvalinus iki 1 procento tikslumo, kokià procentinæ dalá Saulës sistemos masës sudaro Saulë?;99;86;43;12;99
Geografija;9;Jurgis;Kurios ðalies sostinë yra Beirutas?;Jordanijos;Libano;Irako;Irano;Libano
Áþymybës;4;Antanas;Kas reþisavo filmà „Pulp Fiction“?;Steven Spielberg;Tim Burton;Quentin Tarantino;George Lucas;Quentin Tarantino
Geografija;6;Antanas;Kuris miestas yra Peru sostinë?;Santjagas;Buenos Airës;Lima;Rio De Þaneiras;Lima
Mokslas;1;Martynas;Kuris gyvûnas yra genetiðkai artimiausias þmonëms?;Pelë;Arklys;Katë;Ðimpanzë;Ðimpanzë
Mokslas;7;Aloyzas;Koks yra aukso cheminis simbolis?;Ag;Ir;Fe;Au;Au